demarcation_code,financial_year,item_code,item_label,amount,id
DC29,2012,irregular,Irregular Expenditure,30881000,407
DC29,2012,fruitless,Fruitless and Wasteful Expenditure,0,408
KZN431,2012,unauthorised,Unauthorised Expenditure,0,409
KZN431,2012,irregular,Irregular Expenditure,3164000,410
KZN431,2012,fruitless,Fruitless and Wasteful Expenditure,3000,411
KZN432,2012,unauthorised,Unauthorised Expenditure,8683000,412
KZN432,2012,irregular,Irregular Expenditure,7583000,413
KZN432,2012,fruitless,Fruitless and Wasteful Expenditure,1034000,414
KZN433,2012,unauthorised,Unauthorised Expenditure,42465000,415
KZN433,2012,irregular,Irregular Expenditure,11273000,416
KZN433,2012,fruitless,Fruitless and Wasteful Expenditure,77000,417
KZN434,2012,unauthorised,Unauthorised Expenditure,,418
KZN434,2012,irregular,Irregular Expenditure,,419
KZN434,2012,fruitless,Fruitless and Wasteful Expenditure,150000,420
KZN435,2012,unauthorised,Unauthorised Expenditure,10882000,421
KZN435,2012,irregular,Irregular Expenditure,749000,422
KZN435,2012,fruitless,Fruitless and Wasteful Expenditure,0,423
DC43,2012,unauthorised,Unauthorised Expenditure,35000,424
DC43,2012,irregular,Irregular Expenditure,200000,425
DC43,2012,fruitless,Fruitless and Wasteful Expenditure,23000,426
LIM471,2012,unauthorised,Unauthorised Expenditure,37491000,427
LIM471,2012,irregular,Irregular Expenditure,61892000,428
LIM471,2012,fruitless,Fruitless and Wasteful Expenditure,,429
LIM472,2012,unauthorised,Unauthorised Expenditure,50163000,430
LIM472,2012,irregular,Irregular Expenditure,2296000,431
LIM472,2012,fruitless,Fruitless and Wasteful Expenditure,49000,432
LIM473,2012,unauthorised,Unauthorised Expenditure,904000,433
LIM473,2012,irregular,Irregular Expenditure,15920000,434
LIM473,2012,fruitless,Fruitless and Wasteful Expenditure,2000,435
LIM474,2012,unauthorised,Unauthorised Expenditure,,436
LIM474,2012,irregular,Irregular Expenditure,2388000,437
LIM474,2012,fruitless,Fruitless and Wasteful Expenditure,6000,438
LIM475,2012,unauthorised,Unauthorised Expenditure,77687000,439
LIM475,2012,irregular,Irregular Expenditure,29176000,440
LIM475,2012,fruitless,Fruitless and Wasteful Expenditure,48235000,441
DC47,2012,unauthorised,Unauthorised Expenditure,4317000,442
DC47,2012,irregular,Irregular Expenditure,63144000,443
DC47,2012,fruitless,Fruitless and Wasteful Expenditure,576000,444
LIM331,2012,unauthorised,Unauthorised Expenditure,,445
LIM331,2012,irregular,Irregular Expenditure,4617000,446
LIM331,2012,fruitless,Fruitless and Wasteful Expenditure,152000,447
LIM332,2012,unauthorised,Unauthorised Expenditure,,448
LIM332,2012,irregular,Irregular Expenditure,36453000,449
LIM332,2012,fruitless,Fruitless and Wasteful Expenditure,23085000,450
LIM333,2012,unauthorised,Unauthorised Expenditure,,451
LIM333,2012,irregular,Irregular Expenditure,79412000,452
LIM333,2012,fruitless,Fruitless and Wasteful Expenditure,169000,453
LIM334,2012,unauthorised,Unauthorised Expenditure,,454
LIM334,2012,irregular,Irregular Expenditure,79412000,455
LIM334,2012,fruitless,Fruitless and Wasteful Expenditure,28000,456
